"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 01 20:04:12 GMT 2022","Tue Feb 01 20:04:12 GMT 2022","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[2] 2, LIPITOR, 30.2",""
"passed","Tue Feb 01 20:04:12 GMT 2022","Tue Feb 01 20:04:12 GMT 2022","0","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[4] ENTERTAINMENT",""
"passed","Tue Feb 01 20:04:07 GMT 2022","Tue Feb 01 20:04:07 GMT 2022","10","","FindAllProductsQueryAdapterTest - Another way to inject mock","","com.luiz.actions.products.FindAllProductsQueryAdapterTest","onlyForJava8","onlyForJava8()",""
"passed","Tue Feb 01 20:04:12 GMT 2022","Tue Feb 01 20:04:12 GMT 2022","27","","Product Controller","","com.luiz.actions.client.ProductControllerShould","findAll","Fill all products",""
"passed","Tue Feb 01 20:04:12 GMT 2022","Tue Feb 01 20:04:12 GMT 2022","3","","Product Service","","com.luiz.domain.model.ProductServiceTest","findAll","Find all products using service",""
"broken","Tue Feb 01 20:04:15 GMT 2022","Tue Feb 01 20:04:15 GMT 2022","0","","br.edu.mcesar.tests.LoginTest","","br.edu.mcesar.tests.LoginTest","","LoginTest",""
"passed","Tue Feb 01 20:04:12 GMT 2022","Tue Feb 01 20:04:12 GMT 2022","1","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[8] TOYS",""
"passed","Tue Feb 01 20:04:12 GMT 2022","Tue Feb 01 20:04:12 GMT 2022","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[8] 8, HARRY POTTER, 15.0",""
"passed","Tue Feb 01 20:04:12 GMT 2022","Tue Feb 01 20:04:12 GMT 2022","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[3] 3, COROLLA, 20001",""
"passed","Tue Feb 01 20:04:12 GMT 2022","Tue Feb 01 20:04:12 GMT 2022","0","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[6] MOTORS",""
"passed","Tue Feb 01 20:04:12 GMT 2022","Tue Feb 01 20:04:12 GMT 2022","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[8] 8, HARRY POTTER, 15.0",""
"passed","Tue Feb 01 20:04:12 GMT 2022","Tue Feb 01 20:04:12 GMT 2022","2","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[2] FASHION",""
"passed","Tue Feb 01 20:04:12 GMT 2022","Tue Feb 01 20:04:12 GMT 2022","5","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[1] ART",""
"passed","Tue Feb 01 20:04:12 GMT 2022","Tue Feb 01 20:04:12 GMT 2022","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[5] 5, IPAD, 100",""
"passed","Tue Feb 01 20:04:12 GMT 2022","Tue Feb 01 20:04:12 GMT 2022","3","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[4] 4, STAR WARS, 10",""
